Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description
16-02-0103	Molex Inc	DK	WM2512-ND	CONN TERM FEMALE 22-24AWG GOLD
50-57-9408	Molex Inc	DK	WM2906-ND	CONN HOUSING 8POS .100 W/LATCH
EDZ951/2	On Shore Technology Inc	DK	ED2409-ND	TERM BLOCK PLUG 5.08MM 2POS
EDSTLZ951/2	On Shore Technology Inc	DK	ED2427-ND	TERM BLOCK HDR 5.08MM 2POS PCB
DMC-20261NY-LY-CCE-CMN	Optrex America Inc	DK	73-1286-ND	LCD MODULE 20X2 HI CONT LED
EVM-EGGA00B14	Panasonic - ECG	DK	EGG14BK-ND	POT 10K OHM 6MM CERAMIC SIDE ADJ
EVM-EGGA00B25	Panasonic - ECG	DK	EGG25BK-ND	POT 200K OHM 6MM CERAM SIDE ADJ
EVM-L4GA00B14	Panasonic - ECG	DK	L4G14BK-ND	POT 10K OHM 4MM CERAMIC TOP ADJ
L7805ACD2T	STMicroelectronics	DK	497-1440-5-ND	IC REG POS 1.5A 5V PREC D2PAK
640454-2	Tyco Electronics 	DK	A19423-ND	CONN HEADER VERT 2POS .100 TIN
640454-8	Tyco Electronics 	DK	A19435-ND	CONN HEADER VERT 8POS .100 TIN
643813-2	Tyco Electronics 	DK	A23837-ND	CONN RECEPT 2POS 22AWG MTA100
IRF614SPBF	Vishay/Siliconix	DK	IRF614SPBF-ND	MOSFET N-CH 250V 2.7A D2PAK
IRF614SPBF 	Vishay/Siliconix	DK	IRF614SPBF-ND	MOSFET N-CH 250V 2.7A D2PAK
RC0805JR-070RL	Yageo	DK	311-0.0ARCT-ND	RES 0.0 OHM 1/8W 5% 0805 SMD
B3F-1070	Omron Electronics	DK	SW406-ND	SWITCH Tactile SPST-NO 0.05A 24V
CU-1874-B	Bud Industries	DK	377-1165-ND	BOX ABS 5.31X2.94X1.96 BLK
MC33269DTRK-5.0G	ON Semiconductor	DK	MC33269DTRK-5.0GOSTR-ND	IC REG LDO 5V 0.8A DPAK
