Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
0.0EBK-ND,Yageo,ZOR-12-B-52-0R,REF35,1,
1.0KEBK-ND,Yageo,CFR-12JB-52-1K,REF32,1,
1N4004GP-E3/54GITR-ND,Vishay Semiconductor,1N4004GP-E3/54,REF19,1,
A1921-ND,TE Connectivity,640456-2,REF26,1,
2.4KEBK-ND,Yageo,CFR-12JB-52-2K4,REF34,1,
10KEBK-ND,Yageo,CFR-12JB-52-10K,REF31,4,
P3A1003-ND,Panasonic Electronic Components,EVU-F3AF30B14,REF38,1,
478-5813-ND,AVX Corporation,TAP106M025SCS,REF39,1,
490-7035-ND,Murata Electronics,CSTLS16M0X53-B0,REF24,1,
24KEBK-ND,Yageo,CFR-12JB-52-24K,REF33,1,
478-5741-ND,AVX Corporation,SR295E104MAR,REF23,4,
510EBK-ND,Yageo,CFR-12JB-52-510R,REF36,1,
ATMEGA328P-PU-ND,Atmel,ATMEGA328P-PU,REF21,1,
SW406-ND,Omron Electronics,B3F-1070,REF16,4,
A106757-ND,TE Connectivity,826926-6,REF27,1,
609-3319-ND,FCI,68016-204HLF,JP6,1,
609-3343-ND,FCI,68021-206HLF,REF41,4,
67-1758-ND,Lunex Opto/Components Inc,LCM-S01602DSF/A,REF37,1,
MC33269DTRK-5.0GOSTR-ND,ON Semiconductor,MC33269DTRK-5.0G,REF18,1,
EG1903-ND,E-Switch,EG1218,REF40,1,
